Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #69 (Z) @ 2026-02-11 00:56:00: -44.20% ($93.39 → $52.11)
•   Trade #70 (UPST) @ 2026-02-11 00:58:00: -25.75% ($52.11 → $38.69)
•   Trade #71 (BBAI) @ 2026-02-11 09:53:00: -88.19% ($38.69 → $4.57)
•   Trade #72 (FCEL) @ 2026-02-12 00:28:00: +58.07% ($4.57 → $7.22)
•   Trade #74 (ORCL) @ 2026-05-07 23:50:00: +2482.91% ($7.33 → $189.37) [synthetic_jump]
•   Trade #75 (U) @ 2026-05-07 23:50:00: -86.00% ($189.37 → $26.52) [synthetic_jump]
•   Trade #76 (OPEN) @ 2026-05-07 23:50:00: -80.37% ($26.52 → $5.20) [synthetic_jump]
•   Trade #77 (RBLX) @ 2026-05-07 23:50:00: +756.67% ($5.20 → $44.58) [synthetic_jump]
•   Trade #78 (RKLB) @ 2026-05-07 23:50:00: +84.14% ($44.58 → $82.09) [synthetic_jump]
•   Trade #79 (AMD) @ 2026-05-07 23:50:00: +395.64% ($82.09 → $406.88) [synthetic_jump]
•   Trade #80 (MU) @ 2026-05-07 23:50:00: +58.26% ($406.88 → $643.93) [synthetic_jump]
•   Trade #81 (INTC) @ 2026-05-07 23:50:00: -83.20% ($643.93 → $108.15) [synthetic_jump]
•   Trade #82 (GREE) @ 2026-05-07 23:50:00: -98.93% ($108.15 → $1.16) [synthetic_jump]
•   Trade #83 (LRCX) @ 2026-05-07 23:50:00: +24555.17% ($1.16 → $286.00) [synthetic_jump]
•   Trade #84 (TEAM) @ 2026-05-07 23:50:00: -68.20% ($286.00 → $90.95) [synthetic_jump]
•   Trade #85 (LAC) @ 2026-05-07 23:50:00: -93.85% ($90.95 → $5.59) [synthetic_jump]
•   Trade #86 (PLUG) @ 2026-05-07 23:50:00: -44.30% ($5.59 → $3.11) [synthetic_jump]
•   Trade #87 (VERI) @ 2026-05-07 23:50:00: -33.53% ($3.11 → $2.07) [synthetic_jump]
•   Trade #88 (MPC) @ 2026-05-07 23:50:00: +11639.61% ($2.07 → $243.01) [synthetic_jump]
•   Trade #89 (AI) @ 2026-05-07 23:50:00: -96.08% ($243.01 → $9.52) [synthetic_jump]
•   Trade #90 (BEAM) @ 2026-05-07 23:50:00: +226.68% ($9.52 → $31.10) [synthetic_jump]
•   Trade #91 (CAN) @ 2026-05-07 23:50:00: -98.35% ($31.10 → $0.51) [synthetic_jump]
•   Trade #92 (SNOW) @ 2026-05-07 23:50:00: +29478.77% ($0.51 → $151.82) [synthetic_jump]
•   Trade #93 (ENPH) @ 2026-05-07 23:50:00: -76.78% ($151.82 → $35.25) [synthetic_jump]
•   Trade #95 (APP) @ 2026-05-07 23:50:00: +1170.96% ($38.55 → $489.95) [synthetic_jump]
•   Trade #96 (NET) @ 2026-05-07 23:50:00: -57.36% ($489.95 → $208.91) [synthetic_jump]
•   Trade #97 (DNA) @ 2026-05-07 23:50:00: -95.85% ($208.91 → $8.66) [synthetic_jump]
•   Trade #98 (MSTR) @ 2026-05-07 23:50:00: +1961.74% ($8.66 → $178.58) [synthetic_jump]
