Strategy Summary: ThreeFold_MeanReversion_TrendPenguin

Portfolio Totals
Cash,"$113,529.72"
Market Value,$0.00
Total Value,"$113,529.72"
Total Buy Count,18136
Total Sell Count,18136
Total Shares Bought,543344
Total Shares Sold,543344
Realized PnL,"$13,529.72"
Unrealized PnL,$0.00
Total PnL,"$13,529.72"
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Unrealized PnL,Total PnL,PnL %
WM,39,39,50,50,0,"$11,346.35","$11,335.27",$-11.08,$0.00,$-11.08,-0.10%
WMB,50,50,221,221,0,"$15,470.77","$15,485.89",$15.12,$-0.00,$15.12,+0.10%
WMT,101,101,365,365,0,"$44,905.42","$44,889.23",$-16.19,$-0.00,$-16.19,-0.04%
XEL,32,32,79,79,0,"$6,238.68","$6,273.50",$34.82,$-0.00,$34.82,+0.56%
XLE,86,86,686,686,0,"$36,139.16","$36,191.99",$52.84,$-0.00,$52.84,+0.15%
XLF,140,140,1436,1436,0,"$74,616.71","$74,579.76",$-36.95,$0.00,$-36.95,-0.05%
XLI,40,40,84,84,0,"$14,208.88","$14,239.52",$30.64,$-0.00,$30.64,+0.22%
XLK,81,81,238,238,0,"$34,169.47","$34,173.28",$3.81,$-0.00,$3.81,+0.01%
XLP,4,4,26,26,0,"$2,203.56","$2,215.67",$12.11,$0.00,$12.11,+0.55%
XLV,6,6,22,22,0,"$3,228.73","$3,256.46",$27.73,$-0.00,$27.73,+0.86%
XOM,91,91,278,278,0,"$40,372.68","$40,669.80",$297.12,$-0.00,$297.12,+0.74%
XPEV,137,137,3803,3803,0,"$67,869.68","$67,715.42",$-154.26,$0.00,$-154.26,-0.23%
YUM,41,41,50,50,0,"$7,841.25","$7,838.28",$-2.97,$-0.00,$-2.97,-0.04%
Z,57,57,479,479,0,"$20,846.61","$20,573.82",$-272.79,$0.00,$-272.79,-1.31%
ZG,35,35,167,167,0,"$8,001.76","$7,889.77",$-111.98,$0.00,$-111.98,-1.40%
ZM,79,79,390,390,0,"$34,896.83","$35,033.80",$136.97,$-0.00,$136.97,+0.39%
ZS,76,76,223,223,0,"$36,331.19","$36,195.87",$-135.32,$0.00,$-135.32,-0.37%
ZTS,53,53,162,162,0,"$16,530.85","$16,195.33",$-335.52,$0.00,$-335.52,-2.03%
