Strategy Summary: RSIMeanReversionMomentumPenguin

Portfolio Totals
Cash,"$15,388.82"
Market Value,$0.00
Total Value,"$15,388.82"
Total Buy Count,127526
Total Sell Count,58532
Total PnL,"$5,388.82"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
OTIS,424,175,424,"$36,724.93","$36,743.62",$18.70,+0.05%
OXY,1810,585,1810,"$96,192.14","$96,212.55",$20.41,+0.02%
PATH,2751,728,2751,"$34,479.45","$34,478.45",$-1.00,-0.00%
PEG,238,127,238,"$19,433.68","$19,441.43",$7.75,+0.04%
PEP,411,245,411,"$63,719.30","$63,747.97",$28.67,+0.04%
PFE,2141,662,2141,"$56,956.86","$56,958.34",$1.48,+0.00%
PG,520,297,520,"$77,651.31","$77,676.34",$25.02,+0.03%
PGR,275,145,275,"$56,206.94","$56,210.67",$3.72,+0.01%
PH,25,19,25,"$23,587.97","$23,549.70",$-38.27,-0.16%
PINS,1610,578,1610,"$32,842.34","$32,884.11",$41.76,+0.13%
PKG,166,95,166,"$36,417.13","$36,427.55",$10.42,+0.03%
PLD,220,121,220,"$29,307.47","$29,311.85",$4.37,+0.01%
PLTR,861,407,861,"$130,773.89","$130,735.05",$-38.84,-0.03%
PM,370,176,370,"$63,529.58","$63,486.23",$-43.35,-0.07%
PNC,124,80,124,"$26,733.46","$26,773.55",$40.08,+0.15%
PPG,247,130,247,"$27,913.47","$27,904.38",$-9.09,-0.03%
PSA,115,70,115,"$32,775.24","$32,809.24",$34.00,+0.10%
PSX,299,160,299,"$48,559.33","$48,593.06",$33.73,+0.07%
QCOM,524,305,524,"$74,999.10","$75,036.97",$37.86,+0.05%
QQQ,59,52,59,"$35,632.95","$35,648.12",$15.17,+0.04%
QRVO,298,157,298,"$23,940.67","$23,960.64",$19.97,+0.08%
RBLX,1113,490,1113,"$73,667.94","$73,565.51",$-102.43,-0.14%
REGN,60,46,60,"$46,049.20","$46,077.51",$28.31,+0.06%
RIVN,2508,709,2508,"$40,155.28","$40,189.86",$34.58,+0.09%
ROK,99,67,99,"$38,881.37","$38,858.54",$-22.83,-0.06%
ROST,169,112,169,"$34,139.20","$34,173.85",$34.64,+0.10%
RSG,195,107,195,"$42,923.59","$42,967.50",$43.91,+0.10%
RTX,392,238,392,"$78,463.60","$78,465.72",$2.12,+0.00%
SBUX,623,310,623,"$58,603.10","$58,605.81",$2.71,+0.00%
SCHW,361,214,361,"$35,378.50","$35,433.97",$55.46,+0.16%
SHOP,797,385,797,"$102,685.87","$102,682.59",$-3.28,-0.00%
SHW,113,74,113,"$38,194.10","$38,187.79",$-6.31,-0.02%
SLB,1193,508,1193,"$57,857.33","$57,920.52",$63.19,+0.11%
SNAP,3018,726,3018,"$17,587.19","$17,582.77",$-4.42,-0.03%
SNOW,589,323,589,"$103,450.08","$103,416.57",$-33.51,-0.03%
SO,419,181,419,"$38,944.61","$38,953.20",$8.59,+0.02%
SOFI,2167,586,2167,"$44,653.70","$44,630.65",$-23.05,-0.05%
SPG,145,84,145,"$27,521.84","$27,533.02",$11.19,+0.04%
SPGI,138,86,138,"$60,168.14","$59,978.81",$-189.33,-0.31%
SPY,75,66,75,"$50,391.68","$50,401.10",$9.42,+0.02%
SRE,212,121,212,"$19,537.72","$19,573.84",$36.11,+0.18%
STLD,185,124,185,"$33,165.34","$33,182.83",$17.49,+0.05%
STZ,336,176,336,"$51,187.20","$51,153.54",$-33.65,-0.07%
SWKS,465,213,465,"$26,798.41","$26,795.75",$-2.66,-0.01%
SYK,112,77,112,"$38,874.32","$38,945.40",$71.07,+0.18%
SYY,357,175,357,"$28,567.54","$28,563.15",$-4.40,-0.02%
T,1780,576,1780,"$47,301.97","$47,308.95",$6.98,+0.01%
TER,254,165,254,"$72,950.75","$73,089.50",$138.75,+0.19%
TFC,373,207,373,"$18,347.10","$18,366.03",$18.93,+0.10%
TJX,294,170,294,"$45,929.63","$45,947.52",$17.89,+0.04%
TMO,61,47,61,"$32,472.58","$32,532.73",$60.15,+0.19%
TMUS,462,213,462,"$94,250.83","$94,267.85",$17.02,+0.02%
TSLA,237,156,237,"$94,640.88","$94,593.46",$-47.42,-0.05%
TXN,293,180,293,"$59,277.01","$59,359.38",$82.37,+0.14%
UAL,613,347,613,"$61,828.47","$61,881.84",$53.37,+0.09%
UBER,1133,502,1133,"$86,407.69","$86,451.11",$43.42,+0.05%
ULTA,110,79,110,"$64,400.13","$64,455.63",$55.50,+0.09%
UNH,511,327,511,"$150,470.49","$150,505.26",$34.77,+0.02%
UNP,133,94,133,"$32,619.15","$32,651.22",$32.07,+0.10%
UPS,546,311,546,"$58,058.64","$58,072.35",$13.72,+0.02%
UPST,1290,550,1290,"$43,246.79","$43,251.77",$4.98,+0.01%
USB,386,200,386,"$21,234.20","$21,244.83",$10.63,+0.05%
VLO,384,218,384,"$84,036.45","$84,090.92",$54.47,+0.06%
VMC,153,99,153,"$43,834.85","$43,898.02",$63.17,+0.14%
VRTX,138,89,138,"$64,157.87","$64,224.78",$66.91,+0.10%
VTR,324,148,324,"$26,613.05","$26,632.20",$19.15,+0.07%
VZ,1423,545,1423,"$65,519.97","$65,552.18",$32.21,+0.05%
WELL,260,125,260,"$51,807.97","$51,823.13",$15.16,+0.03%
WFC,537,301,537,"$46,108.82","$46,139.56",$30.75,+0.07%
WM,208,125,208,"$47,782.37","$47,793.62",$11.25,+0.02%
WMB,436,228,436,"$30,494.01","$30,504.86",$10.85,+0.04%
WMT,814,441,814,"$99,984.22","$100,026.94",$42.72,+0.04%
XEL,257,152,257,"$20,147.68","$20,178.35",$30.67,+0.15%
XLE,1571,550,1571,"$86,107.85","$86,106.85",$-1.00,-0.00%
XLF,1060,483,1060,"$55,420.98","$55,420.37",$-0.61,-0.00%
XLI,174,132,174,"$29,162.84","$29,168.87",$6.03,+0.02%
XLK,499,318,499,"$70,181.05","$70,159.66",$-21.39,-0.03%
XLP,551,299,551,"$46,456.37","$46,459.26",$2.89,+0.01%
XLV,345,221,345,"$53,007.63","$53,007.33",$-0.29,-0.00%
XOM,1124,467,1124,"$168,740.14","$168,804.34",$64.20,+0.04%
YUM,270,128,270,"$42,910.99","$42,880.26",$-30.73,-0.07%
ZS,604,345,604,"$99,483.44","$99,517.14",$33.71,+0.03%
ZTS,329,166,329,"$40,373.42","$40,409.26",$35.84,+0.09%
