Strategy Summary: CopilotPenguin

Portfolio Totals
Cash,"$99,973.39"
Total Value,"$99,973.39"
Total Buy Count,309
Total Sell Count,297
Total Shares Bought,309
Total Shares Sold,309
Realized PnL,$-26.61
Total PnL,$-26.61
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
DOCU,1,1,1,1,0,$47.64,$47.12,$-0.52,$-0.52,-1.09%
DOW,1,1,1,1,0,$54.66,$54.10,$-0.56,$-0.56,-1.02%
DPZ,1,1,1,1,0,$411.24,$403.65,$-7.59,$-7.59,-1.85%
DUK,1,1,1,1,0,$97.17,$94.42,$-2.75,$-2.75,-2.83%
DVN,1,1,1,1,0,$45.89,$44.99,$-0.90,$-0.90,-1.96%
EA,1,1,1,1,0,$135.41,$128.44,$-6.96,$-6.96,-5.14%
ECL,1,1,1,1,0,$197.11,$195.09,$-2.02,$-2.02,-1.02%
ED,1,1,1,1,0,$91.52,$88.86,$-2.66,$-2.66,-2.91%
EDIT,1,1,1,1,0,$10.06,$9.84,$-0.22,$-0.22,-2.19%
EL,1,1,1,1,0,$144.81,$143.20,$-1.61,$-1.61,-1.11%
EMR,1,1,1,1,0,$95.76,$94.41,$-1.35,$-1.35,-1.41%
ENPH,2,2,2,2,0,$265.49,$263.19,$-2.30,$-2.30,-0.87%
EOG,1,1,1,1,0,$121.51,$120.28,$-1.24,$-1.24,-1.02%
EQIX,1,1,1,1,0,$809.35,$786.48,$-22.86,$-22.86,-2.82%
ETN,1,1,1,1,0,$238.49,$233.60,$-4.89,$-4.89,-2.05%
ETSY,1,1,1,1,0,$80.35,$79.49,$-0.86,$-0.86,-1.07%
EXC,1,1,1,1,0,$35.50,$35.12,$-0.38,$-0.38,-1.08%
EXPD,1,1,1,1,0,$126.77,$124.37,$-2.40,$-2.40,-1.89%
F,1,1,1,1,0,$12.22,$12.07,$-0.15,$-0.15,-1.24%
FANG,1,1,1,1,0,$204.01,$197.19,$-6.82,$-6.82,-3.34%
FAST,1,1,1,1,0,$64.61,$62.80,$-1.82,$-1.82,-2.81%
FCEL,1,1,1,1,0,$1.63,$1.64,$0.01,$0.01,+0.57%
