Strategy Summary: SP500x2

Portfolio Totals
Cash,"$11,271.01"
Market Value,$0.00
Total Value,"$11,271.01"
Total Buy Count,1
Total Sell Count,1
Total PnL,"$1,271.01"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
SPY,1,1,29,"$19,922.38","$21,193.39","$1,271.01",+6.38%
