Strategy Summary: SP500x2

Portfolio Totals
Cash,"$9,431.06"
Market Value,$0.00
Total Value,"$9,431.06"
Total Buy Count,1
Total Sell Count,1
Total PnL,$-568.94

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
SSO,1,1,106,"$9,950.15","$9,381.21",$-568.94,-5.72%
