Strategy Summary: SP500

Portfolio Totals
Cash,"$11,599.48"
Market Value,$0.00
Total Value,"$11,599.48"
Total Buy Count,1
Total Sell Count,1
Total PnL,"$1,599.48"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
SPY,1,1,17,"$9,970.69","$11,570.17","$1,599.48",+16.04%
