Strategy Summary: RSIMeanReversionPenguin

Portfolio Totals
Cash,"$58,107.16"
Market Value,$0.00
Total Value,"$58,107.16"
Total Buy Count,1494757
Total Sell Count,512499
Total PnL,"$48,107.16"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
LSTR,2002,931,2002,"$287,337.34","$287,444.56",$107.22,+0.04%
LULU,3765,1640,3765,"$760,154.27","$760,322.75",$168.48,+0.02%
LYB,3763,1470,3763,"$216,628.95","$216,727.14",$98.18,+0.05%
M,7151,2138,7151,"$115,423.78","$115,492.30",$68.51,+0.06%
MAR,1347,710,1347,"$394,212.84","$394,412.88",$200.04,+0.05%
MARA,13654,3146,13654,"$187,764.63","$187,896.47",$131.83,+0.07%
MCD,2786,1251,2786,"$862,768.16","$862,988.25",$220.09,+0.03%
MCHP,3964,1609,3964,"$250,548.18","$250,845.26",$297.08,+0.12%
MDB,2694,1289,2694,"$773,985.78","$774,652.80",$667.03,+0.09%
MDLZ,4630,1523,4630,"$279,697.58","$279,695.29",$-2.30,-0.00%
MDT,3194,1236,3194,"$297,385.09","$297,501.23",$116.14,+0.04%
META,3523,1647,3523,"$2,317,746.39","$2,317,867.01",$120.63,+0.01%
MLM,942,529,942,"$564,372.16","$564,697.86",$325.70,+0.06%
MMC,1368,599,1368,"$277,147.95","$277,168.11",$20.16,+0.01%
MNST,3689,1294,3689,"$249,361.88","$249,494.33",$132.45,+0.05%
MO,7067,2430,7067,"$429,440.52","$429,538.53",$98.01,+0.02%
MOS,6130,1846,6130,"$176,691.63","$176,715.31",$23.68,+0.01%
MP,10155,2929,10155,"$507,217.43","$507,354.21",$136.78,+0.03%
MPC,2723,1008,2723,"$506,423.20","$506,665.37",$242.16,+0.05%
MPWR,833,503,833,"$750,214.20","$750,748.55",$534.35,+0.07%
MRK,5816,2199,5816,"$539,715.05","$539,938.06",$223.01,+0.04%
MRNA,10853,3227,10853,"$354,695.01","$354,901.95",$206.94,+0.06%
MS,2200,1140,2200,"$339,971.44","$340,234.07",$262.63,+0.08%
MSFT,4455,1895,4455,"$2,035,076.84","$2,035,072.26",$-4.58,-0.00%
MSTR,6752,2305,6752,"$1,676,405.66","$1,676,493.83",$88.17,+0.01%
MTCH,4159,1312,4159,"$135,540.46","$135,660.82",$120.36,+0.09%
MU,6648,2368,6648,"$1,427,552.57","$1,427,558.29",$5.73,+0.00%
NEE,4700,1851,4700,"$370,640.36","$370,879.43",$239.07,+0.06%
NEM,8592,2798,8592,"$673,471.29","$673,675.69",$204.40,+0.03%
NET,3113,1485,3113,"$568,050.20","$568,431.33",$381.13,+0.07%
NFLX,4287,1277,4287,"$1,199,125.18","$1,199,279.06",$153.88,+0.01%
NIO,13890,2940,13890,"$71,969.35","$72,035.33",$65.98,+0.09%
NKE,7884,2847,7884,"$511,002.33","$510,985.85",$-16.47,-0.00%
NOC,1587,786,1587,"$944,371.61","$944,470.46",$98.86,+0.01%
NOW,2812,1092,2812,"$809,957.58","$809,139.75",$-817.83,-0.10%
NSC,1318,620,1318,"$366,842.90","$367,053.27",$210.36,+0.06%
NTLA,10719,3013,10719,"$125,790.16","$126,094.14",$303.98,+0.24%
NU,11483,3265,11483,"$161,694.98","$161,822.66",$127.68,+0.08%
NUE,2399,1077,2399,"$349,091.90","$349,468.83",$376.93,+0.11%
NVDA,7678,2302,7678,"$1,283,326.58","$1,283,154.93",$-171.65,-0.01%
NVO,12426,3050,12426,"$716,116.71","$716,295.22",$178.50,+0.02%
NXPI,1567,809,1567,"$336,325.45","$336,589.31",$263.86,+0.08%
O,6327,2426,6327,"$370,255.81","$370,338.14",$82.33,+0.02%
ODFL,1787,792,1787,"$293,917.98","$294,160.67",$242.70,+0.08%
OKE,3108,1250,3108,"$251,301.64","$251,424.27",$122.63,+0.05%
OKTA,3939,1617,3939,"$356,417.74","$356,523.16",$105.42,+0.03%
ON,5050,2025,5050,"$268,681.74","$269,008.58",$326.85,+0.12%
OPEN,16904,3335,16904,"$65,526.78","$65,622.57",$95.79,+0.15%
ORA,3123,1240,3123,"$302,569.19","$302,628.28",$59.10,+0.02%
